start...
Epoch: 134 / 50000, Score: -500,  block: 24,  Reward: -247.5545 Cleared lines: 0, col: 0/0/0/0 
Epoch: 135 / 50000, Score: -500,  block: 21,  Reward: -96.9252 Cleared lines: 0, col: 0/0/0/0 
Epoch: 136 / 50000, Score: -500,  block: 21,  Reward: -150.7089 Cleared lines: 0, col: 0/0/0/0 
Epoch: 137 / 50000, Score: -500,  block: 24,  Reward: -128.7757 Cleared lines: 0, col: 0/0/0/0 
Epoch: 138 / 50000, Score: -500,  block: 23,  Reward: -139.8725 Cleared lines: 0, col: 0/0/0/0 
Epoch: 139 / 50000, Score: -500,  block: 26,  Reward: -176.4424 Cleared lines: 0, col: 0/0/0/0 
Epoch: 140 / 50000, Score: -500,  block: 23,  Reward: -127.6948 Cleared lines: 0, col: 0/0/0/0 
Epoch: 141 / 50000, Score: -500,  block: 17,  Reward: -107.6652 Cleared lines: 0, col: 0/0/0/0 
Epoch: 142 / 50000, Score: -500,  block: 22,  Reward: -162.6853 Cleared lines: 0, col: 0/0/0/0 
Epoch: 143 / 50000, Score: -500,  block: 18,  Reward: -159.6435 Cleared lines: 0, col: 0/0/0/0 
Epoch: 144 / 50000, Score: -500,  block: 26,  Reward: -162.6937 Cleared lines: 0, col: 0/0/0/0 
Epoch: 145 / 50000, Score: -500,  block: 18,  Reward: -74.6801 Cleared lines: 0, col: 0/0/0/0 
Epoch: 146 / 50000, Score: -500,  block: 20,  Reward: -160.5542 Cleared lines: 0, col: 0/0/0/0 
Epoch: 147 / 50000, Score: -500,  block: 23,  Reward: -180.7107 Cleared lines: 0, col: 0/0/0/0 
Epoch: 148 / 50000, Score: -500,  block: 27,  Reward: -148.3933 Cleared lines: 0, col: 0/0/0/0 
Epoch: 149 / 50000, Score: -400,  block: 31,  Reward: -189.2180 Cleared lines: 1, col: 1/0/0/0 
Epoch: 150 / 50000, Score: -500,  block: 21,  Reward: -141.6525 Cleared lines: 0, col: 0/0/0/0 
Epoch: 151 / 50000, Score: -500,  block: 23,  Reward: -159.7611 Cleared lines: 0, col: 0/0/0/0 
Epoch: 152 / 50000, Score: -500,  block: 26,  Reward: -140.1858 Cleared lines: 0, col: 0/0/0/0 
Epoch: 153 / 50000, Score: -500,  block: 23,  Reward: -171.0322 Cleared lines: 0, col: 0/0/0/0 
Epoch: 154 / 50000, Score: -400,  block: 25,  Reward: -124.8467 Cleared lines: 1, col: 1/0/0/0 
Epoch: 155 / 50000, Score: -500,  block: 19,  Reward: -121.5051 Cleared lines: 0, col: 0/0/0/0 
Epoch: 156 / 50000, Score: -500,  block: 25,  Reward: -151.0389 Cleared lines: 0, col: 0/0/0/0 
Epoch: 157 / 50000, Score: -500,  block: 26,  Reward: -140.4838 Cleared lines: 0, col: 0/0/0/0 
Epoch: 158 / 50000, Score: -500,  block: 23,  Reward: -195.1625 Cleared lines: 0, col: 0/0/0/0 
Epoch: 159 / 50000, Score: -500,  block: 26,  Reward: -138.4178 Cleared lines: 0, col: 0/0/0/0 
Epoch: 160 / 50000, Score: -500,  block: 20,  Reward: -96.1371 Cleared lines: 0, col: 0/0/0/0 
Epoch: 161 / 50000, Score: -400,  block: 28,  Reward: -122.9486 Cleared lines: 1, col: 1/0/0/0 
Epoch: 162 / 50000, Score: -500,  block: 24,  Reward: -183.2467 Cleared lines: 0, col: 0/0/0/0 
Epoch: 163 / 50000, Score: -500,  block: 18,  Reward: -182.5871 Cleared lines: 0, col: 0/0/0/0 
